#,Game ID,Arabic,English,French,Spanish,Swedish,Russian,Chinese,Hindi,Subject,Topic,Grade,Status
1,g_samplex,العينة X,Sample X,Échantillon X,Muestra X,Prov X,Образец X,样本 X,नमूना X,الكيمياء,الأحماض والقلويات و pH,11,✅ كاملة
2,g_mole,بطولة المول الكيميائي,Chemistry Mole Tournament,Tournoi de la Mole,Torneo del Mol Químico,Kemisk Mol-turnering,Химический турнир Молей,化学摩尔锦标赛,रसायन मोल टूर्नामेंट,الكيمياء,المول والحسابات الكيميائية,11,✅ كاملة
3,g_babgino,بابجينو,Babgino,Babgino,Babgino,Babgino,Бабджино,巴布基诺,बाबजीनो,البيولوجيا,مملكة الأوليات,10,✅ كاملة
4,g_lumo,عالم اللومو,Lumo World,Le Monde de Lumo,El Mundo de Lumo,Lumos Värld,Мир Лумо,卢莫世界,लूमो की दुनिया,البيولوجيا,الخلية والانقسام,10,✅ كاملة
5,g_kanaan,لغز الأرجوان,The Purple Enigma,L'Énigme Pourpre,El Enigma Púrpura,Det Purpurfärgade Gåtan,Пурпурная Загадка,紫色之谜,बैंगनी पहेली,الدراسات الاجتماعية,فلسطين وأرض كنعان,6,✅ كاملة
6,g_wiam,قرية الوئام,The Village of Harmony,Le Village de l'Harmonie,El Pueblo de la Armonía,Harmonins Byar,Деревня Согласия,和睦村,सद्भाव गाँव,التربية الإسلامية,العفو والتسامح,4,✅ كاملة
7,g_tawjeeh,برج النـوّارة,Al-Nawwara Tower,La Tour Al-Nawwara,Torre Al-Nawwara,Al-Nawwara Torn,Башня Ан-Наввара,娜瓦拉之塔,अल-नव्वारा टॉवर,الإدارة والاقتصاد,التوجيه والقيادة,11,✅ كاملة
8,g_thread,سرّ الخيط الأخير,The Secret of the Last Thread,Le Secret du Dernier Fil,El Secreto del Último Hilo,Den Sista Trårdens Hemlighet,Тайна Последней Нити,最后一根线的秘密,आख़िरी धागे का रहस्य,تصميم الأزياء,القياس والنماذج,11,✅ كاملة
9,g_noran,سرّ مدينة نوران,The Secret of Noran City,Le Secret de la Ville de Noran,El Secreto de la Ciudad de Noran,Noranhems Hemligheters,Тайна Города Норан,诺兰之城的秘密,नूरान नगर का रहस्य,الإدارة والاقتصاد,وظائف العملية الإدارية,11,✅ كاملة
10,g_silent,الآلة الصامتة,The Silent Machine,La Machine Silencieuse,La Máquina Silenciosa,Den Tysta Maskinen,Молчаливая Машина,沉默的机器,मौन मशीन,الإدارة والاقتصاد,المدارس الإدارية الحديثة,11,✅ كاملة
